Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
mavda,TMPRSS2,ASAP-0015225,1.36,=,1,48
mavda,TMPRSS2,ASAP-0015225,1.32,=,1,48
mavda,TMPRSS2,ASAP-0015223,0.786,=,1,48
mavda,TMPRSS2,ASAP-0015223,1.3,=,1,48
mavda,TMPRSS2,ASAP-0015108,3.5,=,1,48
mavda,TMPRSS2,ASAP-0015108,1.19,=,1,48
mavda,TMPRSS2,ASAP-0015099,0.593,=,1,48
mavda,TMPRSS2,ASAP-0015099,0.542,=,1,48
mavda,TMPRSS2,ASAP-0015096,0.821,=,1,48
mavda,TMPRSS2,ASAP-0015096,0.636,=,1,48
mavda,TMPRSS2,ASAP-0015092,0.601,=,1,48
mavda,TMPRSS2,ASAP-0015092,0.33,=,1,48
mavda,TMPRSS2,ASAP-0015085,0.764,=,1,48
mavda,TMPRSS2,ASAP-0015085,0.686,=,1,48
mavda,TMPRSS2,ASAP-0014973,1.41,=,1,48
mavda,TMPRSS2,ASAP-0014973,8.47,=,1,48
mavda,TMPRSS2,ASAP-0014970,0.307,=,1,48
mavda,TMPRSS2,ASAP-0014970,0.42,=,1,48
mavda,TMPRSS2,ASAP-0014966,1.85,=,1,48
mavda,TMPRSS2,ASAP-0014966,2.02,=,1,48
mavda,TMPRSS2,ASAP-0014963,9.77,=,1,48
mavda,TMPRSS2,ASAP-0014963,11.9,=,1,48
mavda,TMPRSS2,ASAP-0014948,2.02,=,1,48
mavda,TMPRSS2,ASAP-0014948,2.22,=,1,48
mavda,TMPRSS2,ASAP-0014936,1.72,=,1,48
mavda,TMPRSS2,ASAP-0014936,2.22,=,1,48
mavda,TMPRSS2,ASAP-0014925,0.277,=,1,48
mavda,TMPRSS2,ASAP-0014925,0.188,=,1,48
mavda,TMPRSS2,ASAP-0014900,0.938,=,1,48
mavda,TMPRSS2,ASAP-0014900,0.58,=,1,48
mavda,TMPRSS2,ASAP-0014889,36,>,1,48
mavda,TMPRSS2,ASAP-0014889,36,>,1,48
mavda,TMPRSS2,ASAP-0014888,36,>,1,48
mavda,TMPRSS2,ASAP-0014888,12.3,=,1,48
mavda,TMPRSS2,ASAP-0014882,3.88,=,1,48
mavda,TMPRSS2,ASAP-0014882,3.43,=,1,48
mavda,TMPRSS2,ASAP-0014881,2.58,=,1,48
mavda,TMPRSS2,ASAP-0014881,1.48,=,1,48
mavda,TMPRSS2,ASAP-0014791,10.5,=,1,48
mavda,TMPRSS2,ASAP-0014791,7.85,=,1,48
