Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0012331,2.19,=,-4.09,1,48,,
Mavda,TMPRSS2,ASAP-0012331,2.33,=,-2.95,1,48,,
Mavda,TMPRSS2,ASAP-0011528,0.832,=,-3.36,1,48,,
Mavda,TMPRSS2,ASAP-0011528,0.563,=,-3.5,1,48,,
Mavda,TMPRSS2,ASAP-0011513,1.21,=,-9.58,1,48,,
Mavda,TMPRSS2,ASAP-0011513,1.2,=,-9.33,1,48,,
Mavda,TMPRSS2,ASAP-0011485,0.739,=,-2.89,1,48,,
Mavda,TMPRSS2,ASAP-0011485,0.341,=,-1.35,1,48,,
Mavda,TMPRSS2,ASAP-0011485,0.522,=,-1.08,1,48,,
Mavda,TMPRSS2,ASAP-0011445,0.643,=,-2.36,1,48,,
Mavda,TMPRSS2,ASAP-0011445,1.02,=,-3.23,1,48,,
Mavda,TMPRSS2,ASAP-0011430,2.67,=,-2.5,1,48,,
Mavda,TMPRSS2,ASAP-0011430,3.97,=,-2.25,1,48,,
Mavda,TMPRSS2,ASAP-0011368,2.8,=,-3.4,1,48,,
Mavda,TMPRSS2,ASAP-0011368,3.27,=,-2.99,1,48,,
Mavda,TMPRSS2,ASAP-0011359,1.16,=,-14.7,1,48,,
Mavda,TMPRSS2,ASAP-0011359,1.2,=,-14.8,1,48,,
Mavda,TMPRSS2,ASAP-0011347,2.46,=,-2.65,1,48,,
Mavda,TMPRSS2,ASAP-0011347,2.64,=,-1.73,1,48,,
Mavda,TMPRSS2,ASAP-0011343,1.23,=,-8.34,1,48,,
Mavda,TMPRSS2,ASAP-0011343,1.29,=,-11.1,1,48,,
Mavda,TMPRSS2,ASAP-0011202,4.55,=,-21.2,1,48,,
Mavda,TMPRSS2,ASAP-0011202,5.52,=,-5.95,1,48,,
Mavda,TMPRSS2,ASAP-0011200,8.61,=,-3.04,1,48,,
Mavda,TMPRSS2,ASAP-0011200,8.02,=,-3.9,1,48,,
Mavda,TMPRSS2,ASAP-0011143,2.97,=,-2.99,1,48,,
Mavda,TMPRSS2,ASAP-0011143,2.58,=,-2.67,1,48,,
Mavda,TMPRSS2,ASAP-0011141,0.964,=,-2.26,1,48,,
Mavda,TMPRSS2,ASAP-0011141,0.487,=,-1.25,1,48,,
Mavda,TMPRSS2,ASAP-0011141,0.635,=,-1.38,1,48,,
Mavda,TMPRSS2,ASAP-0011140,2.28,=,-1.55,1,48,,
Mavda,TMPRSS2,ASAP-0011140,2.98,=,-2.76,1,48,,
Mavda,TMPRSS2,ASAP-0011139,6.98,=,-2.19,1,48,,
Mavda,TMPRSS2,ASAP-0011139,9.1,=,-3.47,1,48,,
Mavda,TMPRSS2,ASAP-0011138,0.849,=,-3.12,1,48,,
Mavda,TMPRSS2,ASAP-0011138,0.736,=,-1.12,1,48,,
Mavda,TMPRSS2,ASAP-0011138,0.901,=,-1.08,1,48,,
Mavda,TMPRSS2,ASAP-0011137,0.281,=,-2.51,1,48,,
